Date,Time,"CPU Package Power [W]",
23.4.2025,16:16:35.584,49.070,
23.4.2025,16:16:35.608,49.070,
23.4.2025,16:16:35.644,49.070,
23.4.2025,16:16:35.675,60.262,
23.4.2025,16:16:35.707,60.262,
23.4.2025,16:16:35.744,60.262,
23.4.2025,16:16:35.775,60.262,
23.4.2025,16:16:35.807,49.453,
23.4.2025,16:16:35.839,49.453,
23.4.2025,16:16:35.871,49.453,
23.4.2025,16:16:35.903,50.399,
23.4.2025,16:16:35.934,50.399,
23.4.2025,16:16:35.966,50.399,
23.4.2025,16:16:35.997,41.197,
23.4.2025,16:16:36.029,41.197,
23.4.2025,16:16:36.061,49.867,
23.4.2025,16:16:36.092,49.867,
23.4.2025,16:16:36.124,49.867,
23.4.2025,16:16:36.156,49.867,
23.4.2025,16:16:36.188,49.867,
23.4.2025,16:16:36.219,52.293,
23.4.2025,16:16:36.251,52.293,
23.4.2025,16:16:36.283,52.293,
23.4.2025,16:16:36.315,52.293,
23.4.2025,16:16:36.347,54.331,
23.4.2025,16:16:36.378,54.331,
23.4.2025,16:16:36.410,54.331,
23.4.2025,16:16:36.442,57.648,
23.4.2025,16:16:36.473,57.648,
23.4.2025,16:16:36.505,57.648,
23.4.2025,16:16:36.536,62.786,
23.4.2025,16:16:36.568,62.786,
23.4.2025,16:16:36.600,62.786,
23.4.2025,16:16:36.632,51.380,
23.4.2025,16:16:36.663,51.380,
23.4.2025,16:16:36.695,51.380,
23.4.2025,16:16:36.727,48.727,
23.4.2025,16:16:36.759,48.727,
23.4.2025,16:16:36.790,48.727,
23.4.2025,16:16:36.822,48.727,
23.4.2025,16:16:36.854,48.727,
23.4.2025,16:16:36.886,48.727,
23.4.2025,16:16:36.917,50.906,
23.4.2025,16:16:36.949,50.906,
23.4.2025,16:16:36.980,50.906,
23.4.2025,16:16:37.012,50.906,
23.4.2025,16:16:37.044,50.906,
23.4.2025,16:16:37.076,50.804,
23.4.2025,16:16:37.108,50.804,
23.4.2025,16:16:37.140,50.804,
23.4.2025,16:16:37.172,50.804,
23.4.2025,16:16:37.204,50.804,
23.4.2025,16:16:37.235,51.209,
23.4.2025,16:16:37.267,51.209,
23.4.2025,16:16:37.299,51.209,
23.4.2025,16:16:37.331,51.209,
23.4.2025,16:16:37.363,51.209,
23.4.2025,16:16:37.394,51.464,
23.4.2025,16:16:37.426,51.464,
23.4.2025,16:16:37.457,51.464,
23.4.2025,16:16:37.489,51.464,
23.4.2025,16:16:37.521,50.762,
23.4.2025,16:16:37.553,50.762,
23.4.2025,16:16:37.585,50.762,
23.4.2025,16:16:37.617,51.193,
23.4.2025,16:16:37.649,51.193,
23.4.2025,16:16:37.680,51.193,
23.4.2025,16:16:37.712,51.193,
23.4.2025,16:16:37.744,50.811,
23.4.2025,16:16:37.776,50.811,
23.4.2025,16:16:37.807,50.811,
23.4.2025,16:16:37.839,50.811,
23.4.2025,16:16:37.871,50.811,
23.4.2025,16:16:37.902,50.329,
23.4.2025,16:16:37.934,50.329,
23.4.2025,16:16:37.966,50.329,
23.4.2025,16:16:37.998,50.329,
23.4.2025,16:16:38.030,50.329,
23.4.2025,16:16:38.061,50.329,
23.4.2025,16:16:38.092,50.797,
23.4.2025,16:16:38.124,50.797,
23.4.2025,16:16:38.156,50.797,
23.4.2025,16:16:38.188,50.797,
23.4.2025,16:16:38.220,50.470,
23.4.2025,16:16:38.251,50.470,
23.4.2025,16:16:38.283,50.470,
23.4.2025,16:16:38.315,50.470,
23.4.2025,16:16:38.346,50.470,
23.4.2025,16:16:38.378,50.470,
23.4.2025,16:16:38.410,50.456,
23.4.2025,16:16:38.441,50.456,
23.4.2025,16:16:38.473,50.456,
23.4.2025,16:16:38.505,50.456,
23.4.2025,16:16:38.537,50.766,
23.4.2025,16:16:38.568,50.766,
23.4.2025,16:16:38.600,50.766,
23.4.2025,16:16:38.632,50.766,
23.4.2025,16:16:38.663,50.766,
23.4.2025,16:16:38.695,50.212,
23.4.2025,16:16:38.726,50.212,
23.4.2025,16:16:38.758,50.212,
23.4.2025,16:16:38.790,50.212,
23.4.2025,16:16:38.822,50.212,
23.4.2025,16:16:38.853,50.144,
23.4.2025,16:16:38.885,50.144,
23.4.2025,16:16:38.917,50.144,
23.4.2025,16:16:38.949,50.144,
23.4.2025,16:16:38.980,50.144,
23.4.2025,16:16:39.012,50.144,
23.4.2025,16:16:39.044,50.573,
23.4.2025,16:16:39.075,50.573,
23.4.2025,16:16:39.107,50.573,
23.4.2025,16:16:39.139,50.573,
23.4.2025,16:16:39.170,50.573,
23.4.2025,16:16:39.202,51.392,
23.4.2025,16:16:39.234,51.392,
23.4.2025,16:16:39.266,51.392,
23.4.2025,16:16:39.297,51.392,
23.4.2025,16:16:39.329,51.392,
23.4.2025,16:16:39.361,51.009,
23.4.2025,16:16:39.392,51.009,
23.4.2025,16:16:39.423,51.009,
23.4.2025,16:16:39.455,51.009,
23.4.2025,16:16:39.486,50.925,
23.4.2025,16:16:39.517,50.925,
23.4.2025,16:16:39.549,50.925,
23.4.2025,16:16:39.581,50.925,
23.4.2025,16:16:39.613,50.925,
23.4.2025,16:16:39.645,50.925,
23.4.2025,16:16:39.676,50.925,
23.4.2025,16:16:39.708,58.126,
23.4.2025,16:16:39.739,58.126,
23.4.2025,16:16:39.771,58.126,
23.4.2025,16:16:39.803,58.126,
23.4.2025,16:16:39.834,58.126,
23.4.2025,16:16:39.865,52.276,
23.4.2025,16:16:39.897,52.276,
23.4.2025,16:16:39.929,52.276,
23.4.2025,16:16:39.960,52.276,
23.4.2025,16:16:39.992,52.276,
23.4.2025,16:16:40.023,49.965,
23.4.2025,16:16:40.055,49.965,
23.4.2025,16:16:40.087,49.965,
23.4.2025,16:16:40.118,49.965,
23.4.2025,16:16:40.150,49.965,
23.4.2025,16:16:40.181,50.488,
